baker,baker_age,baker_occupation,hometown,series,episode,signature_bake,technical,result,show_stopper
Danny,45,Intensive care consultant,Sheffield,3,6,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,2,IN,"Leek, Potato, Pistachio and Gruyère Strudel"
James,21,Medical student,"Hillswick, Shetland Islands",3,6,Banana and Clove PuddingsClootie Dumplings,7,IN,"Strawberry, Rhubarb and Ginger Strudel"
John,22,Law student,Wigan,3,6,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,5,IN,Did not complete due to injury
Ryan,38,Photographer,Bristol,3,6,Chocolate FondantsSticky Ginger and Date Puddings,6,IN,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel"
Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,6,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,4,IN,Sweet Strudel with Sour Cherries
Brendan,63,Recruitment consultant,Sutton Coldfield,3,6,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings",1,STAR BAKER,"Spinach, Cheese and Walnut Strudel"
Manisha,27,Nursery nurse,Leicester,3,6,NA,NA,NA,NA
Natasha,36,Midwife,"Tamworth, Staffordshire",3,6,NA,NA,NA,NA
Peter,43,Sales manager,"Windsor, Berkshire",3,6,NA,NA,NA,NA
Stuart,26,PE teacher,"Lichfield, Staffordshire",3,6,NA,NA,NA,NA
Victoria,50,CEO of the charity Plantlife,Somerset,3,6,NA,NA,NA,NA
Brendan,63,Recruitment consultant,Sutton Coldfield,3,7,Chelsea Bunskis,4,IN,Black Forest Christmas Stollen
Cathryn,27,Shop assistant,"Pease Pottage, West Sussex",3,7,Lady Arundel's Manchet Buns,5,IN,Bonfire Night Tear 'n' Share Brioche
James,21,Medical student,"Hillswick, Shetland Islands",3,7,Easter Chelsea Buns,1,IN,Whisky Kugelhopf-Brioche Baba
John,22,Law student,Wigan,3,7,Cherry and Almond Saffron Buns,3,IN,Marzipan Stollen
Ryan,38,Photographer,Bristol,3,7,Lardy Cakes,6,OUT,Char Siu Bao
Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,7,"Orange, Nutmeg and Saffron Buns",7,OUT,Sour Cherry and Dark Chocolate Christmas Plait
Danny,45,Intensive care consultant,Sheffield,3,7,Bakewell Chelsea Buns,2,STAR BAKER,European Christmas Wreath
Manisha,27,Nursery nurse,Leicester,3,7,NA,NA,NA,NA
Natasha,36,Midwife,"Tamworth, Staffordshire",3,7,NA,NA,NA,NA
Peter,43,Sales manager,"Windsor, Berkshire",3,7,NA,NA,NA,NA
Stuart,26,PE teacher,"Lichfield, Staffordshire",3,7,NA,NA,NA,NA
Victoria,50,CEO of the charity Plantlife,Somerset,3,7,NA,NA,NA,NA
Brendan,63,Recruitment consultant,Sutton Coldfield,3,8,Multi-Seed Savoury Crackers,2,IN,Fantasy Gingerbread Bird House
Danny,45,Intensive care consultant,Sheffield,3,8,Spiced Almond Drinks Crackers,4,IN,Gingerbread Big Ben
John,22,Law student,Wigan,3,8,Asian Spice Crackers,3,IN,Gingerbread Roman Coliseum
Cathryn,27,Shop assistant,"Pease Pottage, West Sussex",3,8,Cheese and Pickle Crackers,5,OUT,Gingerbread Buckingham Palace
James,21,Medical student,"Hillswick, Shetland Islands",3,8,"Smoky Cayenne, Cumin and Chilli Crackers",1,STAR BAKER,Gingerbread Barn
Manisha,27,Nursery nurse,Leicester,3,8,NA,NA,NA,NA
Natasha,36,Midwife,"Tamworth, Staffordshire",3,8,NA,NA,NA,NA
Peter,43,Sales manager,"Windsor, Berkshire",3,8,NA,NA,NA,NA
Ryan,38,Photographer,Bristol,3,8,NA,NA,NA,NA
Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,8,NA,NA,NA,NA
Stuart,26,PE teacher,"Lichfield, Staffordshire",3,8,NA,NA,NA,NA
Victoria,50,CEO of the charity Plantlife,Somerset,3,8,NA,NA,NA,NA
Brendan,63,Recruitment consultant,Sutton Coldfield,3,9,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,3,IN,Gateau St. Honoré
John,22,Law student,Wigan,3,9,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,2,IN,Gateau St. Honoré a la Passion
Danny,45,Intensive care consultant,Sheffield,3,9,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,4,OUT,Rosewater and Lychee St. Honoré
James,21,Medical student,"Hillswick, Shetland Islands",3,9,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons",1,STAR BAKER,"Coffee, Caramel and Hazelnut Paris-Brest"
Cathryn,27,Shop assistant,"Pease Pottage, West Sussex",3,9,NA,NA,NA,NA
Manisha,27,Nursery nurse,Leicester,3,9,NA,NA,NA,NA
Natasha,36,Midwife,"Tamworth, Staffordshire",3,9,NA,NA,NA,NA
Peter,43,Sales manager,"Windsor, Berkshire",3,9,NA,NA,NA,NA
Ryan,38,Photographer,Bristol,3,9,NA,NA,NA,NA
Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,9,NA,NA,NA,NA
Stuart,26,PE teacher,"Lichfield, Staffordshire",3,9,NA,NA,NA,NA
Victoria,50,CEO of the charity Plantlife,Somerset,3,9,NA,NA,NA,NA
Brendan,63,Recruitment consultant,Sutton Coldfield,3,10,Potato and Pepper Pithivier,2,Runner-up,Family Reunion Chiffon Cake
James,21,Medical student,"Hillswick, Shetland Islands",3,10,Spanish Pithivier with Chorizo and Red Pepper,1,Runner-up,United Chiffon Cakes
John,22,Law student,Wigan,3,10,Italian Sausage and Roasted Vegetable Pithivier,2,WINNER,Heaven and Hell Chiffon Cake
Cathryn,27,Shop assistant,"Pease Pottage, West Sussex",3,10,NA,NA,NA,NA
Danny,45,Intensive care consultant,Sheffield,3,10,NA,NA,NA,NA
Manisha,27,Nursery nurse,Leicester,3,10,NA,NA,NA,NA
Natasha,36,Midwife,"Tamworth, Staffordshire",3,10,NA,NA,NA,NA
Peter,43,Sales manager,"Windsor, Berkshire",3,10,NA,NA,NA,NA
Ryan,38,Photographer,Bristol,3,10,NA,NA,NA,NA
Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",3,10,NA,NA,NA,NA
Stuart,26,PE teacher,"Lichfield, Staffordshire",3,10,NA,NA,NA,NA
Victoria,50,CEO of the charity Plantlife,Somerset,3,10,NA,NA,NA,NA
Ali,25,Charity worker,"Saltley, Birmingham",4,1,Rose and Pistachio Cake,11,IN,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,1,Grapefruit Sandwich Cake,8,IN,Chocolate Cherry Indulgence
Christine,66,Director of an engraving company,"Didcot, Oxfordshire",4,1,"Strawberry, Vanilla and Rosewater Summer Basket",3,IN,Chocolate and Orange 'Fripperous' Hat Cake
Deborah,51,Dentist,Peterborough,4,1,Pineapple Cake,9,IN,'Coffee Time'
Frances,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,1,Giant Jam Sandwich,7,IN,Secret Squirrel Cake
Glenn,37,English Teacher,"Teignmouth, Devon",4,1,Strawberries and Cream Cake,4,IN,Almond and Espresso Chocolate Cake
Howard,51,Council Worker,Sheffield,4,1,Passion Fruit and Coconut Cake,6,IN,Black Forest Revisited
Kimberley,30,Psychologist,London,4,1,Blood Orange Cake,10,IN,"Chocolate, Raspberry & Basil Layer Cake"
Lucy,38,Horticulturist,"Grimsby, Lincolnshire",4,1,Timperley Early Cake,2,IN,Thyme 'Wildwood' Cake
Mark,37,Carpenter and Kitchen Fitter,Milton Keynes,4,1,Lemon and Poppy Seed Cake,5,IN,Chocolate Monster
Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,1,Rhubarb and Custard Sandwich Cake,12,IN,Chocolate and Ginger Night Sky Cake
Toby,30,Web Programmer,"Reading, Berkshire",4,1,Spiced and Iced Carrot Cake,13,OUT,Two Tiered Chocolate Cake
Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,1,Pecan and Apple Cake,1,STAR BAKER,Raspberry Chocolate Cake
Ali,25,Charity worker,"Saltley, Birmingham",4,2,Italian Grissini,9,IN,Sweet and Savoury Yin Yang Bread
Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,2,Fennel and Chilli Breadsticks,11,IN,Five Strand Christmas Wreath
Christine,66,Director of an engraving company,"Didcot, Oxfordshire",4,2,Mediterranean Breadsticks with Oregano,4,IN,Double Plaited Loaf
Deborah,51,Dentist,Peterborough,4,2,Fennel & Chilli Breadsticks,8,IN,Walnut Fleur Loaf
Frances,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,2,Giant Matchsticks,2,IN,Sailor's Knot
Glenn,37,English Teacher,"Teignmouth, Devon",4,2,Rosemary and Parmesan Grissini,7,IN,Harvest Crown
Howard,51,Council Worker,Sheffield,4,2,Moroccan Breadsticks,10,IN,Picasso Sun Bread
Kimberley,30,Psychologist,London,4,2,Nigella Seed and Parmesan Breadsticks,1,IN,Peace Bread
Mark,37,Carpenter and Kitchen Fitter,Milton Keynes,4,2,Rosemary & Raisin Breadsticks,6,IN,Sage & Garlic Plait
Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,2,Twisty Rye Bread Sticks,5,IN,Tribute Loaf
Lucy,38,Horticulturist,"Grimsby, Lincolnshire",4,2,Grissini with Salt,12,OUT,Roast Tomato Bread
Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,2,Mexican Breadsticks,3,STAR BAKER,White Chocolate and Orange Peacock Bread
Toby,30,Web Programmer,"Reading, Berkshire",4,2,NA,NA,NA,NA
Ali,25,Charity worker,"Saltley, Birmingham",4,3,"Coconut, Raspberry and Lemon Meringue Trifle",5,IN,Vanilla Latte Mini CakesLime & Mint Shortbread Pops
Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,3,Orange and Ginger Trifle,10,IN,Limoncello and Blueberry BurstsMillionaire Shortbread
Frances,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,3,Apple and Blackberry Crumble Trifle,8,IN,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes
Glenn,37,English Teacher,"Teignmouth, Devon",4,3,Raspberry and Almond Trifle,1,IN,Billionaire BouchéesOrange Financiers
Howard,51,Council Worker,Sheffield,4,3,Caramel and Apple Trifle*,7,IN,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits
Kimberley,30,Psychologist,London,4,3,"Peach, Almond and Ginger Trifle",6,IN,Chocolate Pistachio FinanciersLemon Bergamot Biscuits
Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,3,Rhubarb and Orange Trifle,2,IN,Almond FriandsTurǫn Macaroons
Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,3,Desert Island Trifle,3,IN,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes
Deborah,51,Dentist,Peterborough,4,3,Tropical Trifle*,9,OUT,Canelé Cherry and Chocolate CakesRose Cookies
Mark,37,Carpenter and Kitchen Fitter,Milton Keynes,4,3,"Ginger, Mango and Passion Fruit Trifle",11,OUT,Rose and Pistachio MacaroonsChocolate and Raspberry Bites
Christine,66,Director of an engraving company,"Didcot, Oxfordshire",4,3,Caribbean Pina Colada Trifle,4,STAR BAKER,Ninety-NinersSachertorte Parcels
Lucy,38,Horticulturist,"Grimsby, Lincolnshire",4,3,NA,NA,NA,NA
Toby,30,Web Programmer,"Reading, Berkshire",4,3,NA,NA,NA,NA
Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,4,Mamgu's Cherry-Apple Tart,2,IN,Moroccan Vegetable Filo Feast
Christine,66,Director of an engraving company,"Didcot, Oxfordshire",4,4,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",7,IN,Roasted Vegetable Filo Pie with Feta Cheese
Frances,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,4,Peach Pie In the Sky,1,IN,Cherry Tree Baklava Filo Pie
Glenn,37,English Teacher,"Teignmouth, Devon",4,4,Apple & Maple Syrup Pie,9,IN,Spanakopita (Walnut and Feta Cheese)
Howard,51,Council Worker,Sheffield,4,4,Apple Pie with Sage Pastry,5,IN,Fresh Fig and Feta Filo Flan
Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,4,Apple and Pear Pie with Thyme,3,IN,Spanakopita with St George's Mushrooms
Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,4,Apple and Marzipan Pie,6,IN,"Rose, Almond and Raspberry Filo Pie"
Ali,25,Charity worker,"Saltley, Birmingham",4,4,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,8,OUT,"Orange, Cardamom and Date M'Hanncha"
Kimberley,30,Psychologist,London,4,4,Pecan and Rosemary Caramel Apple Pie,4,STAR BAKER,"Chicken, Bacon and Butternut Squash Pie"
Deborah,51,Dentist,Peterborough,4,4,NA,NA,NA,NA
Lucy,38,Horticulturist,"Grimsby, Lincolnshire",4,4,NA,NA,NA,NA
Mark,37,Carpenter and Kitchen Fitter,Milton Keynes,4,4,NA,NA,NA,NA
Toby,30,Web Programmer,"Reading, Berkshire",4,4,NA,NA,NA,NA
Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,5,"Chocolate, Cherry and Hazelnut Brownies",5,IN,Tiered Macaron and Sugar Dough Biscuit Centrepiece
Frances,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,5,Millionaire Banoffee Bonus,3,IN,Biscuit Buttons and Beads
Glenn,37,English Teacher,"Teignmouth, Devon",4,5,Apricot and Pistachio Tiffin,2,IN,Shortbread and Macaron Helter-Skelter
Howard,51,Council Worker,Sheffield,4,5,Breakfast Traybake,8,IN,Japanese Pagoda Tea Tower
Kimberley,30,Psychologist,London,4,5,Cherry and Almond Bakewell Florentine Slice,7,IN,Black and White Viennese Biscuit Stack
Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,5,Blackberry and Lemon Bakewell Slice,6,IN,'Dropped Ice-Cream' Biscuit Centrepiece
Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,5,Blueberry & Orange Traybake,4,OUT,Dalek
Christine,66,Director of an engraving company,"Didcot, Oxfordshire",4,5,Mixed Berry and Almond Crumble Traybake,1,STAR BAKER,Shortbread Bavarian Clock Tower
Ali,25,Charity worker,"Saltley, Birmingham",4,5,NA,NA,NA,NA
Deborah,51,Dentist,Peterborough,4,5,NA,NA,NA,NA
Lucy,38,Horticulturist,"Grimsby, Lincolnshire",4,5,NA,NA,NA,NA
Mark,37,Carpenter and Kitchen Fitter,Milton Keynes,4,5,NA,NA,NA,NA
Toby,30,Web Programmer,"Reading, Berkshire",4,5,NA,NA,NA,NA
Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,6,Bara Brith,6,IN,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
Christine,66,Director of an engraving company,"Didcot, Oxfordshire",4,6,Oxford Nutty Fruit Loaf,4,IN,Schnecken BunsVanilla Custard Skolebrød
Frances,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,6,Chai Tea Loaf,2,IN,Hot Cross BriochesRhubarb and Custard Kolaches
Glenn,37,English Teacher,"Teignmouth, Devon",4,6,Devonshire Panettone,5,IN,Almond and Apricot BriochesSticky Caramel Kanelbullen
Kimberley,30,Psychologist,London,4,6,Chai Spiced Ginger and Date Tea Loaf,3,IN,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer
Howard,51,Council Worker,Sheffield,4,6,Date & Hemp Yorkshire Loaf,7,OUT,Peachy BunsGerman Baumschnecken
Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,6,Citrus Tea Loaf,1,STAR BAKER,Twisted Swedish KanelbullarSaffron St. Lucia Buns
Ali,25,Charity worker,"Saltley, Birmingham",4,6,NA,NA,NA,NA
Deborah,51,Dentist,Peterborough,4,6,NA,NA,NA,NA
Lucy,38,Horticulturist,"Grimsby, Lincolnshire",4,6,NA,NA,NA,NA
Mark,37,Carpenter and Kitchen Fitter,Milton Keynes,4,6,NA,NA,NA,NA
Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,6,NA,NA,NA,NA
Toby,30,Web Programmer,"Reading, Berkshire",4,6,NA,NA,NA,NA
Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,7,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,1,IN,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
Christine,66,Director of an engraving company,"Didcot, Oxfordshire",4,7,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,6,IN,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille
Kimberley,30,Psychologist,London,4,7,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,4,IN,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette"
Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,7,Plum Jam Roly-Polywith Ginger Ice cream,2,IN,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts
Glenn,37,English Teacher,"Teignmouth, Devon",4,7,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,3,OUT,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille
Frances,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,7,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,5,STAR BAKER,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers
Ali,25,Charity worker,"Saltley, Birmingham",4,7,NA,NA,NA,NA
Deborah,51,Dentist,Peterborough,4,7,NA,NA,NA,NA
Howard,51,Council Worker,Sheffield,4,7,NA,NA,NA,NA
Lucy,38,Horticulturist,"Grimsby, Lincolnshire",4,7,NA,NA,NA,NA
Mark,37,Carpenter and Kitchen Fitter,Milton Keynes,4,7,NA,NA,NA,NA
Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,7,NA,NA,NA,NA
Toby,30,Web Programmer,"Reading, Berkshire",4,7,NA,NA,NA,NA
Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,8,"Potato, Spelt and Rosemary Focaccia",4,IN,Spiced Butternut Squash and Pecan 'Cheese' Cake
Frances,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,8,'Chelsea Flour Show' Bun Bouquet,3,IN,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)"
Kimberley,30,Psychologist,London,4,8,Wild Garlic Pesto and Parma Ham Spelt Loaf,2,IN,Butternut Squash and Spice Cake Toadstool House
Christine,66,Director of an engraving company,"Didcot, Oxfordshire",4,8,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",5,OUT,Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant
Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,8,Mango and Nigella Seed Spelt Cob,1,STAR BAKER,Carrot Cake and Pistachio Garden Plot
Ali,25,Charity worker,"Saltley, Birmingham",4,8,NA,NA,NA,NA
Deborah,51,Dentist,Peterborough,4,8,NA,NA,NA,NA
Glenn,37,English Teacher,"Teignmouth, Devon",4,8,NA,NA,NA,NA
Howard,51,Council Worker,Sheffield,4,8,NA,NA,NA,NA
Lucy,38,Horticulturist,"Grimsby, Lincolnshire",4,8,NA,NA,NA,NA
Mark,37,Carpenter and Kitchen Fitter,Milton Keynes,4,8,NA,NA,NA,NA
Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,8,NA,NA,NA,NA
Toby,30,Web Programmer,"Reading, Berkshire",4,8,NA,NA,NA,NA
Frances,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,9,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",2,IN,Great British Soap Opera Cake
Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,9,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions",4,IN,"Chocolate, Almond Praline and Saffron Opera Cake"
Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,9,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,3,OUT,Banoffee Opera Cake
Kimberley,30,Psychologist,London,4,9,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,1,STAR BAKER,Passion Fruit and Lime Opera Cake
Ali,25,Charity worker,"Saltley, Birmingham",4,9,NA,NA,NA,NA
Christine,66,Director of an engraving company,"Didcot, Oxfordshire",4,9,NA,NA,NA,NA
Deborah,51,Dentist,Peterborough,4,9,NA,NA,NA,NA
Glenn,37,English Teacher,"Teignmouth, Devon",4,9,NA,NA,NA,NA
Howard,51,Council Worker,Sheffield,4,9,NA,NA,NA,NA
Lucy,38,Horticulturist,"Grimsby, Lincolnshire",4,9,NA,NA,NA,NA
Mark,37,Carpenter and Kitchen Fitter,Milton Keynes,4,9,NA,NA,NA,NA
Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,9,NA,NA,NA,NA
Toby,30,Web Programmer,"Reading, Berkshire",4,9,NA,NA,NA,NA
Kimberley,30,Psychologist,London,4,10,Chicken and Pig Pie,1,Runner-up,Languages of Love Wedding Cake
Ruby,20,History of Art and Philosophy Student,"Southend, Essex",4,10,Picnic Basket Pie,2,Runner-up,"Raspberry, Lemon and Passion Fruit Wedding Cake"
Frances,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,10,Rainbow Picnic Pie,3,WINNER,Midsummer Night's Dream Wedding Cake
Ali,25,Charity worker,"Saltley, Birmingham",4,10,NA,NA,NA,NA
Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,10,NA,NA,NA,NA
Christine,66,Director of an engraving company,"Didcot, Oxfordshire",4,10,NA,NA,NA,NA
Deborah,51,Dentist,Peterborough,4,10,NA,NA,NA,NA
Glenn,37,English Teacher,"Teignmouth, Devon",4,10,NA,NA,NA,NA
Howard,51,Council Worker,Sheffield,4,10,NA,NA,NA,NA
Lucy,38,Horticulturist,"Grimsby, Lincolnshire",4,10,NA,NA,NA,NA
Mark,37,Carpenter and Kitchen Fitter,Milton Keynes,4,10,NA,NA,NA,NA
Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,10,NA,NA,NA,NA
Toby,30,Web Programmer,"Reading, Berkshire",4,10,NA,NA,NA,NA
Chetna,35,Fashion Designer,"Broadstairs, Kent",5,1,"Cardamom, Pistachio and Coffee Swiss Roll",3,IN,Tiered Victoria Sponges with Lemon Curd and Raspberry Cream
Diana,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,1,Mum's Sunday Tea Lemon Curd Swiss Roll,5,IN,Chocolate Ganache Surprises
Enwezor,39,Business Consultant,"Portsmouth, Hampshire",5,1,Raspberry and Lemon Swiss Roll,9,IN,Coffee and Walnut Battenberg Squares
Iain,31,Construction Engineer,London/Belfast,5,1,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,4,IN,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon"
Jordan,32,IT Manager,"Sneinton, Nottingham",5,1,Kawaii Frasier Swiss Roll,12,IN,Lemon Drizzle Cakes with Blueberry and Lemon Curd
Kate,41,Furniture Restorer,"Brighton, East Sussex",5,1,Red Velvet and White Chocolate Swiss Roll,6,IN,Mini Tiered Victoria Sponges
Luis,42,Graphic Designer,"Poynton, Cheshire",5,1,Spanish Swiss Roll,7,IN,Raspberry and Lemon Genoise Slices with Lemon Drizzles
Martha,17,Student,"Ascot, Berkshire",5,1,Tiramisu Swiss Roll,2,IN,Mini Lemon and Thyme Drizzle Cakes
Norman,66,Retired Naval Officer,"Portknockie, Moray",5,1,Black Forest Swiss Roll,11,IN,Almond and Raspberry Mini Cakes
Richard,38,Builder,"Mill Hill, London",5,1,Pistachio and Strawberry Swiss Roll,10,IN,Miniature Coffee & Walnut Cakes
Claire,31,Speech Therapist,"Ashton upon Mersey, Trafford",5,1,Chocolatey Orangey Swirly Roll,8,OUT,Mini Chocolate and Cherry Cakes
Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,1,Coffee and Hazelnut Swiss Roll,1,STAR BAKER,Jaffa Orange Cakes
Chetna,35,Fashion Designer,"Broadstairs, Kent",5,2,Fenugreek and Carom Crackers,8,IN,Day On The Beach
Diana,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,2,Parmesan Triangles,7,IN,"Express, First Class"
Iain,31,Construction Engineer,London/Belfast,5,2,Za'atar and Fig Biscuits,11,IN,Wild West Scene
Jordan,32,IT Manager,"Sneinton, Nottingham",5,2,"Sourdough, Parmesan and Chilli Biscuits",6,IN,Monster Attack
Kate,41,Furniture Restorer,"Brighton, East Sussex",5,2,Parmesan and Apple Biscuits,4,IN,Tea Time
Luis,42,Graphic Designer,"Poynton, Cheshire",5,2,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,3,IN,George Versus The Dragon
Martha,17,Student,"Ascot, Berkshire",5,2,Caramelised Onion and Goat's Cheese Sandwich Biscuits,5,IN,Ski Village Scene
Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,2,Fennel and Rye Thins,2,IN,Hansel and Gretel Scene
Norman,66,Retired Naval Officer,"Portknockie, Moray",5,2,Farthing Biscuits,10,IN,Zulu Boats at Dawn
Enwezor,39,Business Consultant,"Portsmouth, Hampshire",5,2,Pumpkin and Sunflower Savoury Biscuits,9,OUT,Space Adventure Moon Scene
Richard,38,Builder,"Mill Hill, London",5,2,Rosemary Seeded Crackers,1,STAR BAKER,Pirates!
Claire,31,Speech Therapist,"Ashton upon Mersey, Trafford",5,2,NA,NA,NA,NA
Chetna,35,Fashion Designer,"Broadstairs, Kent",5,3,Onion and Pine Nut Rolls,8,IN,Rolled and Filled Twin Loaf
Diana,69,Women's Institute (WI) Judge,"Alkington, Shropshire",5,3,Rustic Picnic Rolls,7,IN,Sharing Savoury Pinwheel
Iain,31,Construction Engineer,London/Belfast,5,3,Cranberry and Walnut Rye Bread Rolls,9,IN,Moroccan Plaited with a Bessara Dip
Kate,41,Furniture Restorer,"Brighton, East Sussex",5,3,Orange and Cardamom Rye Bread Knots,1,IN,"Prosciutto, Olive and Coriander Bread"
Martha,17,Student,"Ascot, Berkshire",5,3,Date and Walnut Rye Rolls,3,IN,Stuffed Sunflower Loaf
Nancy,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5,3,Cider and Walnut Crusty Rolls,5,IN,'Full English' Stromboli
Norman,66,Retired Naval Officer,"Portknockie, Moray",5,3,Rye Bread Rolls,4,IN,Chicken and Roasted Vegetable Picnic Loaf
Richard,38,Builder,"Mill Hill, London",5,3,Rye and Cranberry Rolls,6,IN,Pesto Pinwheel
Jordan,32,IT Manager,"Sneinton, Nottingham",5,3,Rye and Spelt Bread Rolls,10,OUT,Strawberry Raspberry Cheesecake Brioche
Luis,42,Graphic Designer,"Poynton, Cheshire",5,3,Opposites Attract Rolls,2,STAR BAKER,Roscón de Reyes
Claire,31,Speech Therapist,"Ashton upon Mersey, Trafford",5,3,NA,NA,NA,NA
Enwezor,39,Business Consultant,"Portsmouth, Hampshire",5,3,NA,NA,NA,NA
Chetna,35,Fashion Designer,"Broadstairs, Kent",5,4,"Rhubarb, Strawberry and Orange Puddings",3,IN,"Mango, Raspberry and Coconut Baked Alaska"
